"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_cost_car","b_cost_bus","b_cost_air","b_cost_rail","b_income","lambda_PT","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,1,-1170.8600760604
-0.157803040950449,0.00143936801388607,0.0431629880313945,0.000185849827089803,-0.000440815353132508,-2.20521725517082e-05,0.000285996401333435,0.00130089391913136,-0.00633077939845296,-0.000443511261685708,0.00035004330399146,-1.17346716922123e-06,0.940270746980288,-1098.34423865114
-0.297320988626792,0.0578953216597483,0.0909085527110034,9.21126030288142e-05,-0.00107732959864671,-9.10819652417636e-05,0.000344201869721654,-0.00094935371605351,-0.0143149635734376,-0.00498207759347844,-0.00392786003224526,-1.41445719688999e-06,0.845966261145595,-1069.15926021755
-0.388329554439899,0.341966483071118,0.354101958112288,-0.00223153684090313,-0.00372907467600868,-0.00718017817055805,-0.00455216361164728,-0.0219097657282749,-0.0188282804303058,-0.0206382283027975,-0.0234269161266156,-4.86588037141101e-07,0.580887785665495,-1028.31920197795
0.907699506056841,0.585363700498955,1.71520186498659,-0.00257529731483343,-0.00721035739871516,-0.00907255518664572,-0.0115993887464715,-0.0223027462212407,-0.0295758463207209,-0.0234885233274666,-0.0312934075552674,-2.27357008320326e-06,0.716157829106689,-1024.81843324895
0.950847689458794,0.527364817667104,1.60379325654937,-0.00278002123481225,-0.00739034890831554,-0.0098768754176708,-0.0118057391699457,-0.0230003432081192,-0.0305993348089208,-0.022864774816202,-0.0301620993349244,-2.17967396568963e-06,0.697804162587633,-1024.71096905505
1.00467602548653,0.545690720637665,1.64255768971471,-0.0027891491414869,-0.0075342934698511,-0.00993543764891802,-0.0119521500360543,-0.0228557536806644,-0.0312336733149875,-0.0231231660134214,-0.0305441872882745,-2.17536543856219e-06,0.707603037193349,-1024.70902568129
0.996968487617328,0.543779185164486,1.63117509813528,-0.00279368219353468,-0.00751936021434316,-0.00996254040366279,-0.01191843350759,-0.0229077678345134,-0.0311906057282129,-0.023103972873136,-0.0304751127896332,-2.17373262726279e-06,0.706358075327285,-1024.70889565383
0.997593541441353,0.544668666974192,1.63114057979251,-0.00279323387285828,-0.00752045911723831,-0.00996817061714753,-0.0119172393385112,-0.0229052748769071,-0.0311943726434772,-0.0231080726247806,-0.0304739071725114,-2.17353950073824e-06,0.706414053613709,-1024.70889462595
0.997744974336575,0.544853349926968,1.63120413544914,-0.0027931385307784,-0.0075207632384518,-0.00996909486344393,-0.0119172285199037,-0.0229044009810295,-0.0311952335354011,-0.0231091277718283,-0.0304742732540911,-2.17337499147179e-06,0.706437951418898,-1024.70889460093
